,STATION,Station Latitude,Station Longitude,SEGMENT,SECTOR,BOROUGH,AVGWKDRIDER,AVGWKND,ANN_RID
123,Flushing Av,40.70026,-73.941126,Crosstown,Other Brooklyn,Brooklyn,2416,2080,729349
124,Flushing Av,40.70026,-73.941126,Jamaica,Other Brooklyn,Brooklyn,5217,5327,1614503
125,Kingston Av,40.669399,-73.942161,New Lots,Other Brooklyn,Brooklyn,3233,3513,1017521
126,Graham Av,40.714565,-73.944053,Canarsie,Other Brooklyn,Brooklyn,6732,8370,2164641
127,Lorimer St,40.703869,-73.947408,Jamaica,Other Brooklyn,Brooklyn,2792,3316,890789
128,Lorimer St,40.703869,-73.947408,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10951,20646,3903034
129,Flatbush Av-Brooklyn College,40.632836,-73.947642,Nostrand Av,Other Brooklyn,Brooklyn,11967,10287,3601151
130,Newkirk Av,40.639967,-73.948411,Nostrand Av,Other Brooklyn,Brooklyn,4638,4542,1426266
131,Beverly Rd,40.645098,-73.948959,Nostrand Av,Other Brooklyn,Brooklyn,3044,3255,951520
132,Myrtle-Willoughby Avs,40.694568,-73.949046,Crosstown,Other Brooklyn,Brooklyn,3977,4658,1265040
133,Church Av,40.650843,-73.949575,Nostrand Av,Other Brooklyn,Brooklyn,6201,6828,1947722
134,Church Av,40.650843,-73.949575,Brighton,Other Brooklyn,Brooklyn,10537,9429,3194658
135,Church Av,40.650843,-73.949575,Culver,Other Brooklyn,Brooklyn,6312,8392,2060505
136,Winthrop St,40.656652,-73.9502,Nostrand Av,Other Brooklyn,Brooklyn,5379,4816,1628419
137,Flushing Av,40.700377,-73.950234,Crosstown,Other Brooklyn,Brooklyn,2416,2080,729349
138,Flushing Av,40.700377,-73.950234,Jamaica,Other Brooklyn,Brooklyn,5217,5327,1614503
139,Lorimer St,40.714063,-73.950275,Jamaica,Other Brooklyn,Brooklyn,2792,3316,890789
140,Lorimer St,40.714063,-73.950275,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10951,20646,3903034
141,Broadway,40.706092,-73.950308,Crosstown,Other Brooklyn,Brooklyn,3420,4446,1112371
142,Broadway,40.706092,-73.950308,Astoria,Queens,Queens,8653,10393,2763230
143,Nostrand Av,40.680438,-73.950426,New Lots,Other Brooklyn,Brooklyn,2512,3090,809205
144,Nostrand Av,40.680438,-73.950426,Fulton St,Other Brooklyn,Brooklyn,11753,14381,3768205
145,Nostrand Av,40.669847,-73.950466,New Lots,Other Brooklyn,Brooklyn,2512,3090,809205
146,Nostrand Av,40.669847,-73.950466,Fulton St,Other Brooklyn,Brooklyn,11753,14381,3768205
147,President St,40.667883,-73.950683,Nostrand Av,Other Brooklyn,Brooklyn,2450,2173,742431
148,Nassau Av,40.724635,-73.951277,Crosstown,Other Brooklyn,Brooklyn,6888,10524,2320186
149,Roosevelt Island,40.759145,-73.95326,63 St,Upper Manhattan,Manhattan,5078,7273,1686544
150,Hewes St,40.70687,-73.953431,Jamaica,Other Brooklyn,Brooklyn,1849,2638,612920
151,Bedford-Nostrand Avs,40.689627,-73.953522,Crosstown,Other Brooklyn,Brooklyn,6027,8380,1985142
152,Vernon Blvd-Jackson Av,40.742626,-73.953581,Flushing (Queens),Queens,Queens,11662,12179,3631659
153,Sheepshead Bay,40.586896,-73.954155,Brighton,Other Brooklyn,Brooklyn,9420,7794,2821135
154,Greenpoint Av,40.731352,-73.954449,Crosstown,Other Brooklyn,Brooklyn,7672,9284,2457616
155,Neck Rd,40.595246,-73.955161,Brighton,Other Brooklyn,Brooklyn,3098,3069,956059
156,Franklin Av,40.680596,-73.955827,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10092,13745,3312190
157,Franklin Av,40.680596,-73.955827,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,3667,5102,1210340
158,Franklin Av,40.68138,-73.956848,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10092,13745,3312190
159,Franklin Av,40.68138,-73.956848,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,3667,5102,1210340
160,Bedford Av,40.717304,-73.956872,Canarsie,Other Brooklyn,Brooklyn,23653,44011,8399477
161,Marcy Av,40.708359,-73.957757,Jamaica,Other Brooklyn,Brooklyn,8867,11221,2864396
162,Franklin Av,40.670682,-73.958131,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,10092,13745,3312190
163,Franklin Av,40.670682,-73.958131,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,3667,5102,1210340
164,Classon Av,40.688873,-73.96007,Crosstown,Other Brooklyn,Brooklyn,4141,5354,1342389
165,Brighton Beach,40.577621,-73.961376,Brighton,Other Brooklyn,Brooklyn,8299,9482,2635382
166,Parkside Av,40.655292,-73.961495,Brighton,Other Brooklyn,Brooklyn,4102,5558,1348897
167,Prospect Park,40.661614,-73.962246,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,6489,9181,2150487
168,Newkirk Av,40.635082,-73.962793,Nostrand Av,Other Brooklyn,Brooklyn,4638,4542,1426266
169,Church Av,40.650527,-73.962982,Nostrand Av,Other Brooklyn,Brooklyn,6201,6828,1947722
170,Church Av,40.650527,-73.962982,Brighton,Other Brooklyn,Brooklyn,10537,9429,3194658
171,Church Av,40.650527,-73.962982,Culver,Other Brooklyn,Brooklyn,6312,8392,2060505
172,Cortelyou Rd,40.640927,-73.963891,Brighton,Other Brooklyn,Brooklyn,4098,4640,1296344
173,Beverly Rd,40.644031,-73.964492,Nostrand Av,Other Brooklyn,Brooklyn,3044,3255,951520
174,Lexington Av,40.764627,-73.96611,Manhattan CBD Transfer,Midtown,Manhattan,37615,39358,11691818
175,Clinton-Washington Avs,40.688089,-73.966839,Fulton St,Other Brooklyn,Brooklyn,4998,5903,1587595
176,Clinton-Washington Avs,40.688089,-73.966839,Crosstown,Other Brooklyn,Brooklyn,3968,4746,1263928
177,Lexington Av,40.76266,-73.967258,Manhattan CBD Transfer,Midtown,Manhattan,37615,39358,11691818
178,Grand Army Plaza,40.675235,-73.971046,Eastern Pkwy,Other Brooklyn,Brooklyn,5055,6749,1653318
179,Lafayette Av,40.686113,-73.973946,Fulton St,Other Brooklyn,Brooklyn,3711,5720,1252720
180,Bergen St,40.680829,-73.975098,Eastern Pkwy,Other Brooklyn,Brooklyn,3009,4194,990992
181,Bergen St,40.680829,-73.975098,Culver,Other Brooklyn,Brooklyn,8349,10775,2701492
182,Fulton St,40.687119,-73.975375,Manhattan CBD Transfer,Downtown,Manhattan,57533,59967,17887203
183,Fulton St,40.687119,-73.975375,Crosstown,Other Brooklyn,Brooklyn,4656,6494,1534593
184,Atlantic Av,40.68446,-73.97689,Canarsie,Other Brooklyn,Brooklyn,1152,1063,351212
185,Atlantic Av-Barclays Ctr,40.684359,-73.977666,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,29183,40074,9583506
186,Ditmas Av,40.636119,-73.978172,Culver,Other Brooklyn,Brooklyn,3007,1481,848061
187,Atlantic Av-Barclays Ctr,40.683666,-73.97881,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,29183,40074,9583506
188,Church Av,40.644041,-73.979678,Nostrand Av,Other Brooklyn,Brooklyn,6201,6828,1947722
189,Church Av,40.644041,-73.979678,Brighton,Other Brooklyn,Brooklyn,10537,9429,3194658
190,Church Av,40.644041,-73.979678,Culver,Other Brooklyn,Brooklyn,6312,8392,2060505
191,Nevins St,40.688246,-73.980492,Eastern Pkwy,Brooklyn CBD,Brooklyn,6665,8193,2136592
192,DeKalb Av,40.690635,-73.981824,Canarsie,Other Brooklyn,Brooklyn,8574,10894,2772609
193,DeKalb Av,40.690635,-73.981824,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,13759,14315,4272247
194,Union St,40.677316,-73.98311,4 Av,Other Brooklyn,Brooklyn,5142,6338,1646253
195,Hoyt St,40.690545,-73.985065,Eastern Pkwy,Brooklyn CBD,Brooklyn,5087,6962,1666303
196,York St,40.699743,-73.986885,Culver,Other Brooklyn,Brooklyn,9633,16452,3345474
197,Delancey St,40.718611,-73.988114,Manhattan CBD Transfer,Valley,Manhattan,20608,34260,7083681
198,East Broadway,40.713715,-73.990173,6 Av,Valley,Manhattan,11083,16775,3729749
199,High St,40.699337,-73.990531,Fulton St,Other Brooklyn,Brooklyn,6859,8954,2247144
200,Bergen St,40.686145,-73.990862,Eastern Pkwy,Other Brooklyn,Brooklyn,3009,4194,990992
201,Bergen St,40.686145,-73.990862,Culver,Other Brooklyn,Brooklyn,8349,10775,2701492
202,Astor Place,40.730054,-73.99107,Lexington Av (CBD),Valley,Manhattan,11137,16518,3717074
203,Court St,40.6941,-73.991777,Downtown Brooklyn Transfer,Brooklyn CBD,Brooklyn,20372,16601,6066699
204,Prospect Av,40.665414,-73.992872,White Plains Rd,Bronx,Bronx,4136,3607,1248614
205,Prospect Av,40.665414,-73.992872,4 Av,Other Brooklyn,Brooklyn,4237,4133,1299538
206,Clark St,40.697466,-73.993086,Eastern Pkwy,Other Brooklyn,Brooklyn,4481,7648,1554195
207,Grand St,40.718267,-73.993753,6 Av,Valley,Manhattan,17686,24196,5821650
208,Grand St,40.718267,-73.993753,Canarsie,Other Brooklyn,Brooklyn,4744,5408,1499646
209,Bowery,40.72028,-73.993915,Nassau St,Valley,Manhattan,2441,4888,887619
210,Carroll St,40.680303,-73.995048,Culver,Other Brooklyn,Brooklyn,8432,8971,2625017
211,Broadway-Lafayette St,40.725297,-73.996204,Manhattan CBD Transfer,Valley,Manhattan,27303,43350,9268403
212,New Utrecht Av,40.624842,-73.996353,Other Brooklyn Transfer,Other Brooklyn,Brooklyn,3765,4472,1201167
213,Spring St,40.722301,-73.997141,Lexington Av (CBD),Valley,Manhattan,8253,16137,2969643
214,Spring St,40.722301,-73.997141,8 Av,Valley,Manhattan,9575,9434,2941927
215,Prince St,40.724329,-73.997702,Broadway-60 St,Valley,Manhattan,8363,18482,3128710
216,Canal St,40.718092,-73.999892,Broadway/7 Av (CBD),Valley,Manhattan,3595,4352,1148885
217,Canal St,40.718092,-73.999892,8 Av,Valley,Manhattan,12596,13840,3950546
218,Canal St,40.718092,-73.999892,Manhattan CBD Transfer,Valley,Manhattan,30763,49543,10521747
219,Canal St,40.718803,-74.000193,Broadway/7 Av (CBD),Valley,Manhattan,3595,4352,1148885
220,Canal St,40.718803,-74.000193,8 Av,Valley,Manhattan,12596,13840,3950546
221,Canal St,40.718803,-74.000193,Manhattan CBD Transfer,Valley,Manhattan,30763,49543,10521747
222,Chambers St,40.71419,-74.003199,Broadway/7 Av (CBD),Downtown,Manhattan,12798,9934,3782605
223,Chambers St,40.71419,-74.003199,Manhattan CBD Transfer,Downtown,Manhattan,40703,35944,12298422
224,Chambers St,40.713243,-74.003401,Broadway/7 Av (CBD),Downtown,Manhattan,12798,9934,3782605
225,Chambers St,40.713243,-74.003401,Manhattan CBD Transfer,Downtown,Manhattan,40703,35944,12298422
226,Brooklyn Bridge-City Hall,40.713889,-74.003654,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
227,Spring St,40.726227,-74.003739,Lexington Av (CBD),Valley,Manhattan,8253,16137,2969643
228,Spring St,40.726227,-74.003739,8 Av,Valley,Manhattan,9575,9434,2941927
229,Brooklyn Bridge-City Hall,40.713813,-74.003907,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
230,Brooklyn Bridge-City Hall,40.713065,-74.004131,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
231,Brooklyn Bridge-City Hall,40.712333,-74.004387,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
232,Brooklyn Bridge-City Hall,40.712868,-74.004806,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
233,Brooklyn Bridge-City Hall,40.712723,-74.004971,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
234,Brooklyn Bridge-City Hall,40.711824,-74.005057,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
235,Brooklyn Bridge-City Hall,40.711857,-74.005114,Manhattan CBD Transfer,Downtown,Manhattan,19361,17568,5881022
236,Canal St,40.720824,-74.005229,Broadway/7 Av (CBD),Valley,Manhattan,3595,4352,1148885
237,Canal St,40.720824,-74.005229,8 Av,Valley,Manhattan,12596,13840,3950546
238,Canal St,40.720824,-74.005229,Manhattan CBD Transfer,Valley,Manhattan,30763,49543,10521747
239,Houston St,40.728251,-74.005367,Broadway/7 Av (CBD),Valley,Manhattan,8908,9033,2749660
240,Canal St,40.722854,-74.006277,Broadway/7 Av (CBD),Valley,Manhattan,3595,4352,1148885
241,Canal St,40.722854,-74.006277,8 Av,Valley,Manhattan,12596,13840,3950546
242,Canal St,40.722854,-74.006277,Manhattan CBD Transfer,Valley,Manhattan,30763,49543,10521747
243,Fulton St,40.709416,-74.006571,Manhattan CBD Transfer,Downtown,Manhattan,57533,59967,17887203
244,Fulton St,40.709416,-74.006571,Crosstown,Other Brooklyn,Brooklyn,4656,6494,1534593
